,month,lat,lon,surface_pressure,surface_net_solar_radiation_sum,total_precipitation_sum,temperature_C,aerosol,cloud_cover,humidity,wind_speed,wind_dir,elevation
0,2025-01,7.3212695655741,-80.89329133496291,99702.1525065104,15369756.322580645,0.0023181474957458,26.18202909654184,0.14892697,0.085685484,80.45481201185414,1.7253857974887257,42.17693911114875,150
1,2025-01,7.3212695655741,-80.80345980655096,97873.75868930612,15373145.35483871,0.0026426024954849,25.166721741871243,0.14892697,0.07585686,81.16766029155944,1.4713788203613147,45.72139828128396,584
2,2025-01,7.3212695655741,-80.713628278139,95335.47911941363,15313190.064516127,0.0030275956256459,23.74283061283893,0.14892697,0.07585686,82.24830256236157,1.2045106177022336,22.86716986219061,884
3,2025-01,7.3212695655741,-80.62379674972705,96951.37293661796,15150263.806451611,0.002681226785982,24.54334934603787,0.14892697,0.058719758,81.90819919109678,1.5887287309060918,-42.65580249528079,724
4,2025-01,7.3212695655741,-80.5339652213151,99366.95492586528,14965989.806451611,0.002368170213191,25.703274581252916,0.15422146,0.058719758,81.4721400499913,2.2056095413261043,-95.61828414233749,197
5,2025-01,7.3212695655741,-77.92885089736849,97689.70626995128,14245979.096774194,0.0048462554311283,24.48090447456616,0.15673003,0.15826613,87.95472322693745,0.6563857453567852,21.897404979799862,539
6,2025-01,7.411101093986052,-80.89329133496291,100925.66057102654,16832110.258064516,0.0026095791188663,26.636737072852327,0.14892697,0.06804436,80.85505412802632,1.8944880828528696,45.67691548393459,50
7,2025-01,7.411101093986052,-80.80345980655096,97408.35815167172,15146963.096774194,0.0031649934648229,24.65335176119248,0.14892697,0.07610887,82.42708515670382,1.4944608225023674,-11.1539741951636,288
8,2025-01,7.411101093986052,-80.713628278139,95009.84336672549,15362747.612903226,0.0034906131585482,23.369366336125267,0.14892697,0.07610887,83.04185004175042,1.316004263237572,-69.98729408445794,550
9,2025-01,7.411101093986052,-80.62379674972705,96601.8998183384,15164844.064516127,0.003191779984458,24.10300366391425,0.14892697,0.06804436,83.23768047449825,1.595318251663641,-93.73915496586224,362
10,2025-01,7.411101093986052,-80.5339652213151,99164.24659253193,14821840.193548389,0.0028466988935309,25.253189525809265,0.15422146,0.06804436,83.25021278871625,2.011035921254695,-116.27413642829428,69
11,2025-01,7.411101093986052,-80.44413369290315,100277.1068075857,15045474.64516129,0.0027963223936781,25.85464964425688,0.15422146,0.06804436,82.67615221188456,2.5979009255744674,-115.03512631979974,13
12,2025-01,7.411101093986052,-80.3543021644912,100277.1068075857,15045474.64516129,0.0027963223936781,25.85464964425688,0.15422146,0.04964718,82.67615221188456,2.5979009255744674,-115.03512631979974,11
13,2025-01,7.411101093986052,-78.01868242578044,97641.35008715556,14432537.225806452,0.0048639786799792,24.535662854102327,0.15673003,0.16280241,87.5930655070259,0.643380852740014,27.25476004292159,270
14,2025-01,7.411101093986052,-77.92885089736849,95761.00062478996,14056423.870967742,0.005239698961734,23.58770418474745,0.15673003,0.16280241,88.16411964830426,0.5110492154721142,14.863559574261792,519
15,2025-01,7.411101093986052,-77.83901936895654,97503.45895812336,14139763.935483873,0.0046603788270789,24.32228657302033,0.15673003,0.13079637,88.31215771963836,0.4259338737006751,20.07807233611036,492
16,2025-01,7.500932622398004,-81.79160661908243,100000.1162161878,17249105.548387095,0.0017293285918536,26.388960590157467,0.122234814,0.047883064,80.65104623598388,1.4053261396849464,90.8318770457261,120
17,2025-01,7.500932622398004,-80.89329133496291,100405.55035597278,15716423.612903226,0.0027965790781967,26.172725501111813,0.14413847,0.06804436,81.59357011654092,1.9593326424330253,1.0021816879080483,202
18,2025-01,7.500932622398004,-80.80345980655096,97590.04632371472,15430214.70967742,0.0033502139370972,24.567293503463876,0.14413847,0.07610887,83.08549436841605,1.6253840937490327,-102.6919672075496,355
19,2025-01,7.500932622398004,-80.713628278139,96551.03557102654,15323318.838709677,0.0036497075691061,23.90696136720726,0.14413847,0.07610887,84.01480767505036,1.5075328108923338,-128.64892390620335,620
20,2025-01,7.500932622398004,-80.62379674972705,98227.15385059644,15091492.903225806,0.0033767283903699,24.633647250103703,0.14413847,0.06804436,84.2776454031287,1.7719597726475371,-141.60661518441654,185
21,2025-01,7.500932622398004,-80.5339652213151,99051.43342048892,15040696.967741936,0.0030333022897005,25.08717127564131,0.153432,0.06804436,83.51175270620102,2.082947923187276,-133.69102168262364,246
22,2025-01,7.500932622398004,-80.44413369290315,98805.17938823086,14950735.29032258,0.002784367336257,25.136521809075475,0.153432,0.06804436,82.70452103170705,2.4536536242813347,-117.10601377949834,116
23,2025-01,7.500932622398004,-80.3543021644912,98805.17938823086,14950735.29032258,0.002784367336257,25.136521809075475,0.153432,0.04964718,82.70452103170705,2.4536536242813347,-117.10601377949834,197
24,2025-01,7.500932622398004,-80.26447063607924,98855.13368930612,14908244.258064516,0.0026607910451112,25.31318249035905,0.153432,0.04964718,82.08631789652928,2.9934951781290007,-84.63966519990716,213
25,2025-01,7.500932622398004,-80.17463910766729,99670.88100113404,14825880.516129032,0.0026083240565477,25.794446666266424,0.16989699,0.04964718,81.70215546927028,3.5798666758354067,-62.38459853788336,123
26,2025-01,7.500932622398004,-80.08480757925534,100252.04229145666,14779128.258064516,0.0030159433982749,26.16219332705265,0.16989699,0.03326613,81.70859051435792,4.331612391507998,-39.06267829985654,56
27,2025-01,7.500932622398004,-78.10851395419239,99993.83126995128,14342826.322580645,0.0043401913276326,25.564300811931677,0.17411794,0.16280241,87.29402038622563,0.7011374788959165,30.926215671717703,118
